Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,86644,Rochester Institute of Technology,University,Demonstration,Vehicles,,,Innovative part cleaning for Auto remanufacturing industry,1 Lomb Memorial Dr,Rochester,New York,14623,http://www.rit.edu,9/2/99,350000
12/8/20,74416,Beam Charging LLC,Early Stage Company,Demonstration,Vehicles,electric,charging stations,Beam Charging LLC to install 28 electric vehicle chargers in New York City,5 Skyline Dr,Hawthorne,NY,10532,http://www.beamcharging.com/,10/18/12,368558
12/8/20,74204,"International Electronic Machines Corp.,",Early Stage Company,Demonstration,Vehicles,Rail transport innovation,,Demonstration of WISE Wheel Profiling Technology,850 River St,Troy,NY,12180,http://www.iem.net,7/29/16,399463
12/8/20,87888,SUNY: University at Buffalo,University,Demonstration,Vehicles,All electric,,Autonomous EV Campus Demonstration,119 John Beane Center,Buffalo,New York,14260,http://www.buffalo.edu/,11/16/17,452361
12/8/20,73999,Navigant Consulting Inc.,Consultant,Demonstration,Vehicles,,,Demonstration and Evaluation of Mini-Hybrid Transit Buses in New York City,255 South Champlain Street Suite 10,Burlington,VT,5401,http://www.navigant.com/,10/19/09,453544
12/8/20,75224,Electric Power Research Institute,Laboratory / Research Center,Demonstration,Vehicles,,,Participation in Ford/EPRI PHEV Evaluation Program,"1325 G Street, NW, Ste 1080",Washington,DC,20005,https://www.epri.com,3/23/09,750000
12/8/20,75321,"Antares Group, Inc.",Consultant,Demonstration,Vehicles,electric,,Evaluation of Truck Stop Electrification for NYS,7000 E Genesee Street,Fayetteville,NY,13066,http://antaresgroupinc.com/,8/28/01,888382
12/8/20,75528,"Unique Technical Services, LLC",Early Stage Company,Demonstration,Vehicles,electric,,New York City Electric Transit Bus Build and Demonstration,52 Roundabout Road,Smithtown,NY,11787,http://www.utseng.com,2/26/18,950864
12/8/20,74421,"Leviton Manufacturing Co, Inc.",Corporate,Demonstration,Vehicles,Electric,Charging stations,Electric Vehicle Supply Equipment Demonstration - 82 workplace charging stations,201 North Service Road,Melville,NY,11747,https://www.leviton.com/en,6/5/13,993248
12/8/20,86158,Rochester Institute of Technology,University,Demonstration,Vehicles,Hydrogen,,Deploying HICE Vehicles and Demonstrating Hydrogen as a Viable Transportation Fu,1 Lomb Memorial Dr,Rochester,New York,14623,http://www.rit.edu,11/2/07,999964
12/8/20,87178,American Wind Power & Hydrogen LLC,Early Stage Company,Demonstration,Vehicles,,,Hydrogen Fueled Vehicles Now!,445 Park Ave Fl 10,New York,NY,10022,https://www.Windpowerandhydrogen.com/,12/7/05,1000000
12/8/20,75335,"Clough, Harbour & Associates, LLP",Consultant,Demonstration,Vehicles,,,Electronic Pre-screening: Commerical Vehicle Information Exchange Window,3 Winners Cir Ste 100,Colonie,NY,12205,http://www.chacompanies.com/,5/21/03,1079978
12/8/20,74189,"New West Technologies, LLC.",Consultant,Product Development,Vehicles,,,Hybrid Thermal Energy Storage System for Refrigerated Trailers,4351 Garden City Dr Ste 301,Landover,MD,20785,http://www.nwttech.com/,10/29/15,4677
12/8/20,73991,"SOMS Technologies, LLC",Early Stage Company,Product Development,Vehicles,,,Fuel Efficiency Testing of High Efficiency Engine Oil Filtration,6 Hissarlik Way,Bedford,NY,10506,http://www.somstech.com,12/14/09,6720
12/8/20,75268,"Clean Vehicle Systems, Inc.,",Other,Product Development,Vehicles,,,Heavy-duty Vehicle Repowering Venture,1160 Castleton Ave,Staten Island,NY,10310,,3/19/98,7135
12/8/20,75304,"Precision Magnetic Bearing Systems, Inc.",Other,Product Development,Vehicles,,,Compact Motor Controller,25 Walker Way Ste 2A,Albany,NY,12205,,2/23/00,22448
12/8/20,75327,"Suppress X-S, LLC",Other,Product Development,Vehicles,,,Expanded Metal to Control Evaporative Emissions,32 Nancy St Unit B,West Babylon,NY,11704,,3/21/01,22750
12/8/20,75153,Cornell University,University,Product Development,Vehicles,,,Plug-in Hybrid Electric Vehicle Development for X-Prize,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,2/12/09,25000
12/8/20,75404,Scarano Boat Building Inc.,Early Stage Company,Product Development,Vehicles,,,Hybrid Marine Power,194 S Port Rd,Albany,NY,12202,http://www.scaranoboat.com/,3/31/04,30000
12/8/20,74050,Clarkson University,University,Product Development,Vehicles,,,Plasma Actuator for Drag Reduction,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,5/12/11,38451
12/8/20,75409,"GSM Vehicles, Inc.",Early Stage Company,Product Development,Vehicles,,,GSM Manhattan Taxi Test Program,36 Florida Ave,Plattsburgh,NY,12903,,3/31/04,38747
12/8/20,75291,Adirondack Resource Management Associat,Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Fluid Ring Seals,"Associates, LLC 20 Bowman Street",Saratoga Springs,NY,12866,,7/8/99,40000
12/8/20,75305,"Neocon Technologies, Inc",Other,Product Development,Vehicles,,,APU/Battery for Hybrid Electric Vehicles,569 Acorn St Ste 7,Deer Park,NY,11729,,12/8/99,40351
12/8/20,75311,"Alstrom Transportation, Inc.",Corporate,Product Development,Vehicles,,,Rail Transit Door Operators,1 Transit Dr,Hornell,NY,14843,https://www.alstom.com/alstom-us,3/27/00,40602
12/8/20,75601,"Shurepower, LLC",Early Stage Company,Product Development,Vehicles,,,Hydraulic Regenerative Brakes Feasibility,414 Trenton Ave,Utica,NY,13502,http://www.shorepower.com/,10/18/04,42332
12/8/20,75457,New Process Gear (Division of Magna Powe,Corporate,Product Development,Vehicles,,,Torque Limiting Clutch for 4WD/AWD Vehicles,6600 New Venture Gear Dr,East Syracuse,NY,13057,https://www.magna.com/company/company-information/magna-groups/magna-powertrain,5/4/06,48000
12/8/20,74080,Denkenberger Inventing and Consulting,Consultant,Product Development,Vehicles,,,Microchannel Heat Recovery,1060B N Chandalar Dr,Fairbanks,AK,99775,https://sites.google.com/site/daviddenkenberger/consulting,5/18/12,48497
12/8/20,74119,"Unique Technical Services, LLC",Early Stage Company,Product Development,Vehicles,,,Electric Transit Bus Specifications,52 Roundabout Road,Smithtown,NY,11787,http://www.utseng.com,10/25/13,49418
12/8/20,74079,"EnviroDock, Inc.",Early Stage Company,Product Development,Vehicles,,,Prototype Development of Battery Operated Portable TSE Unit,21 Wilbraham St Ste 211,Palmer,MA,1069,http://www.envirodock.com/,5/11/12,49500
12/8/20,74049,Research Foundation of SUNY,University,Product Development,Vehicles,,,Thermoelectric Energy Recovery from Vehicle Exhaust,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,5/24/11,50000
12/8/20,75326,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Smart Video Monitoring System,850 River St,Troy,NY,12180,http://www.iem.net,11/20/00,55000
12/8/20,75581,The Research Foundation for the State,University,Product Development,Vehicles,Rail transport innovation,,Application Programming Interface,1400 Washington Ave,Albany,NY,12222,https://www.albany.edu/avail/,5/11/15,74998
12/8/20,74157,Alta Planning + Design,Corporate,Product Development,Vehicles,eBikes,,"Electric Bicycle Share Study, Development, and Launch",10 Clark Street,Saratoga Springs,NY,12866,https://altaplanning.com/,11/6/14,75000
12/8/20,85687,LC DRives,Early Stage Company,Product Development,Vehicles,,,Permanent Magnet Traction Motor for Bus and Truck series hybrids,65 Main St Peyton Hall Box 21,Potsdam,NY,13676,http://www.lcdrives.com,8/15/14,75000
12/8/20,74013,"New West Technologies, LLC.",Consultant,Product Development,Vehicles,,,Short Sea Shipping: Phase II,4351 Garden City Dr Ste 301,Landover,MD,20785,http://www.nwttech.com/,9/2/10,79139
12/8/20,73990,The Research Foundation for the State,University,Product Development,Vehicles,,,Regenerative Shock Absorber,P.O. Box 9,Albany,NY,12201,https://www.rfsuny.org/,2/23/11,80876
12/8/20,75544,"Mobile Climate Control Corporation,",Corporate,Product Development,Vehicles,,,Electric-Drive Air Conditioning for Hybrid Bus,"Mobile Climate Control Corp.
27 Corporate Circle Suite 1",East Syracuse,NY,13057,https://www.mcc-hvac.com/?cont=NA,3/31/98,89848
12/8/20,74121,Electron Coil Inc.,Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Lightweight Inductor for Passenger Rail,141 Barr Rd,Norwich,NY,13815,http://www.electroncoil.com,12/4/13,94096
12/8/20,75400,The Research Foundation for the State,University,Product Development,Vehicles,,,Large Area Quantum Well Thermoelectric Generator,P.O. Box 9,Albany,NY,12201,https://www.rfsuny.org/,3/16/05,98148
12/8/20,75402,"Advanced Energy Conversion, LLC",Early Stage Company,Product Development,Vehicles,,,Optimized Coolant Pump: A Highly Integrated Fluid Power Pump,"10 Hermes Road, Suite 500",Ballston Spa,NY,12020,https://ioxus.com/english/company/,1/8/04,98759
12/8/20,75246,"Matthews Buses, Inc.,",Corporate,Product Development,Vehicles,,,Hybrid-Electric School Bus,2900 Route 9-Malta,Ballston Spa,New York,12020,http://www.matthewsbuses.com,1/29/96,99276
12/8/20,75430,United Environment and Energy LLC,Early Stage Company,Product Development,Vehicles,,,Low Precious Metal Catalytic Converter,111 Ridge Rd,Horseheads,NY,14845,http://unitedee.com/,3/22/05,99778
12/8/20,75426,"Precision Magnetic Bearing Systems, Inc.",Other,Product Development,Vehicles,,,Ceramic Motors to Provide Significant Energy and Environmental Benefits,25 Walker Way Ste 2A,Albany,NY,12205,,3/16/05,99980
12/8/20,75272,"Excalibur Environmental, Inc.,",Other,Product Development,Vehicles,,,CNG Component Mfg Venture - II,512 Dublin Dr,Downingtown,PA,19335,https://www.excaliburgrpllc.com/,3/20/98,100000
12/8/20,74010,"Impact Technologies, LLC",Corporate,Product Development,Vehicles,,,Oil Quality Sensor for Vehicle Applications Phase 2,200 Canal View Blvd Ste 300,Rochester,NY,14623,http://www.lockheedmartin.com,9/21/10,101779
12/8/20,75438,"Environmental Energy Technologies, Inc",Early Stage Company,Product Development,Vehicles,,,EGR and Non-Thermal Plasma for Diesel Emissions,333 Metro Park,Rochester,NY,14623,http://www.environmentalEnergyTech.com,9/19/05,104158
12/8/20,74149,Ecovative Design LLC,Corporate,Product Development,Vehicles,,,Biomaterials for Sound Attenuation,70 Cohoes Ave Ste 103,Green Island,NY,12183,http://ecovativedesign.com/,4/6/15,110338
12/8/20,75590,Electrical Power WorX Corporation,Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Intellectual Property and Business Process Development at EPX,200 N Main St,Alfred,NY,14802,,2/18/10,113963
12/8/20,74152,"AirFlow Catalyst Systems, Inc.",Early Stage Company,Product Development,Vehicles,,,Retrofit Passive Emission Control System,183 E Main St Ste 925,Rochester,NY,14604,http://www.AirFlowCatalyst.com,8/15/14,120460
12/8/20,75302,"Composite Factory, Inc",Other,Product Development,Vehicles,,,Energy Efficient Truck of the Future,31 Northern Ave,Plattsburgh,NY,12903,http://www.thecompositefactory.com/,9/24/99,121462
12/8/20,75141,New Process Gear (Division of Magna Powe,Corporate,Product Development,Vehicles,,,Fuel Efficient Torque-Limiting Clutch: Phase II,6600 New Venture Gear Dr,East Syracuse,NY,13057,https://www.magna.com/company/company-information/magna-groups/magna-powertrain,3/24/08,124043
12/8/20,75267,"GSM Vehicles, Inc.",Early Stage Company,Product Development,Vehicles,,,Hybrid-Electric Vehicle for the Disabled,36 Florida Ave,Plattsburgh,NY,12903,,11/3/98,124822
12/8/20,75211,"Enviromotive, Inc.",Early Stage Company,Product Development,Vehicles,,,Loon: Recreational Solar Boat,530 Harbor Way,Rome,NY,13440,http://enviromotive.net/,7/28/08,125000
12/8/20,75415,"Advanced Energy Conversion, LLC",Early Stage Company,Product Development,Vehicles,,,Starter-Alternator System with A/C Drive Through,"10 Hermes Road, Suite 500",Ballston Spa,NY,12020,https://ioxus.com/english/company/,7/29/04,141316
12/8/20,73992,Syracuse University,University,Product Development,Vehicles,,,Clean Diesel Technology Using Supercritical Fluids,University Place,Syracuse,NY,13244,http://www.syr.edu,10/19/09,141593
12/8/20,75432,"Starfire Systems, Inc.",Early Stage Company,Product Development,Vehicles,,,Robust Ceramic Diesel Filter Media,2165 Technology Dr,Schenectady,NY,12308,http://www.starfiresystems.com/,3/14/05,142845
12/8/20,75401,Sensatec LLC,Other,Product Development,Vehicles,,,Vehicle Tire Pressure Monitoring,1061 Beach Park Blvd Apt 309,Foster City,CA,94404,,12/16/03,146175
12/8/20,75578,Vnomics Corp,Early Stage Company,Product Development,Vehicles,,,Development of an In-Cab Coaching Product for Medium/Light Duty Vehicles to,175 Sully's Trail,Pittsford,NY,14534,https://www.vnomicscorp.com/,7/3/13,149448
12/8/20,75138,"Folsom Technologies International, LLC",Early Stage Company,Product Development,Vehicles,,,Hydromechanical Continuously Variable Fan Drive,30 Tech Valley Dr Ste 105,East Greenbush,NY,12061,http://ftivt.com/,2/4/08,149687
12/8/20,75265,"BBS Powermod, Inc.,",Other,Product Development,Vehicles,,,DC Voltage Converter,"7500 Victor Mendon Road,",Mendon,NY,14506,,11/4/97,149925
12/8/20,75275,"International Electronic Machines, Inc.",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Grade Crossing Video System,850 River St,Troy,NY,12180,http://www.iem.net,2/11/99,149948
12/8/20,74059,Jeffrey L Kinzler,Venture Development Organization,Product Development,Vehicles,Rail transport innovation,,Subway Freight System Proof of Concept,"393 Old Country Road, Suite 300",Carle Place,NY,11514,http://www.GreenUrbsnFreight.com,4/8/11,150000
12/8/20,75185,"AirFlow Catalyst Systems, Inc.",Early Stage Company,Product Development,Vehicles,,,Diesel Catalyst Production,183 E Main St Ste 925,Rochester,NY,14604,http://www.AirFlowCatalyst.com,5/22/07,150000
12/8/20,75266,"Baker Electromotive, Inc.",Early Stage Company,Product Development,Vehicles,,,Electric Postal Vehicle,1700 Summit Ave,Richmond,VA,23230,,11/14/97,150000
12/8/20,75227,"Greenfield Manufacturing, Inc.",Early Stage Company,Product Development,Vehicles,,,Hullspeed Marine Coatings,49 Geyser Rd,Saratoga Springs,NY,12866,http://www.hullspeed.us,2/12/09,159005
12/8/20,75263,"E&M Power,",Corporate,Product Development,Vehicles,,,Thermal Management System for Electric Motors,6 Emma St,Binghamton,NY,13905,http://www.eandmpower.com/,8/29/97,167652
12/8/20,75191,"Starfire Systems, Inc.",Early Stage Company,Product Development,Vehicles,,,Brake-through Technology for Ceramic Brakes,2165 Technology Dr,Schenectady,NY,12308,http://www.starfiresystems.com/,8/15/08,170000
12/8/20,73998,MINI LLC,Early Stage Company,Product Development,Vehicles,Rail transport innovation,,High Speed Electrical Insulator Cleaner for New York City Transit System.,7710 Bradley Blvd,Bethesda,MD,20817,,9/13/10,172544
12/8/20,74055,Syracuse University,University,Product Development,Vehicles,,,Supercritical Fuel Injection System for Diesels,University Place,Syracuse,NY,13244,http://www.syr.edu,3/30/11,176218
12/8/20,75271,"BAE Systems Controls, Inc.",Corporate,Product Development,Vehicles,,,Hybrid-Electric Powertrain for Taxi: Phase II,600 Main Street,Johnson City,NY,13790,https://www.baesystems.com/en/home,3/24/98,176484
12/8/20,75570,"Greenfield Manufacturing, Inc.",Early Stage Company,Product Development,Vehicles,,,Clean Energy Business Growth,49 Geyser Rd,Saratoga Springs,NY,12866,http://www.hullspeed.us,2/23/11,179854
12/8/20,74155,"Shurepower, LLC",Early Stage Company,Product Development,Vehicles,,,FDNY Shorepower Ambulance Idle Reduction Project,414 Trenton Ave,Utica,NY,13502,http://www.shorepower.com/,10/7/14,180325
12/8/20,75334,"Precision Magnetic Bearing Systems, Inc.",Other,Product Development,Vehicles,,,Compact Electric Motor for Heavy-Duty Vehicles,25 Walker Way Ste 2A,Albany,NY,12205,,7/19/01,180573
12/8/20,74188,Mobile Fleet Inc,Early Stage Company,Product Development,Vehicles,Components,,"Cleanparc: Battery-Powered, Anti-Idling Solution",10 Commerce Drive,Hauppague,NY,11788,http://www.mobilefleet.com/,3/15/16,192278
12/8/20,75403,Alternative Fuels Technologies Corporati,Early Stage Company,Product Development,Vehicles,,,Starter-Alternator for Hybrid Electric Taxi,"PO BOX 202
185 Rochelle St",Bronx,NY,10464,,1/20/04,196267
12/8/20,162521,"Dayton T. Brown, Inc.",Consultant,Product Development,Vehicles,Rail transport innovation,,Subway System Energy Usage and Electrical Storage System Applications Analysis,1175 Church St,Bohemia,NY,11716,https://www.dtb.com/,9/12/19,198195
12/8/20,75229,"Environmental Energy Technologies, Inc",Early Stage Company,Product Development,Vehicles,,,Non-thermal Plasma Diesel Particulate Removal,333 Metro Park,Rochester,NY,14623,http://www.environmentalEnergyTech.com,2/27/09,198838
12/8/20,75283,Manak Dynamics Engineering Corporation,Other,Product Development,Vehicles,,,Multi-Purpose Electric Vehicle,11130 Van Wyck Expy,Jamaica,NY,11420,,1/15/99,200000
12/8/20,75296,"Composite Factory, Inc",Other,Product Development,Vehicles,,,Commercialization of Preform Machine,31 Northern Ave,Plattsburgh,NY,12903,http://www.thecompositefactory.com/,3/29/99,200000
12/8/20,75310,"PCB Piezotronics, Inc.",Corporate,Product Development,Vehicles,,,Combustion Chamber Pressure Sensor,3425 Walden Ave,Depew,NY,14043,http://www.pcb.com,1/12/00,200000
12/8/20,86622,"Personal Electric Transports,",Other,Product Development,Vehicles,,,Electric Scooter Composite Body Project,204 Berth,Wilmington,CA,90744,https://personalelectrictransport.co.uk/,9/8/99,200000
12/8/20,75342,Rochester Institute of Technology,University,Product Development,Vehicles,,,Self-Regenerating Particle Trap for Emission Control,1 Lomb Memorial Dr,Rochester,New York,14623,http://www.rit.edu,1/4/02,205209
12/8/20,75414,Inspecto Inc.,Early Stage Company,Product Development,Vehicles,,,Congestion Mitigation Thru Amphibious Transit,10 Van Wyck Ln,Huntington,NY,11743,,10/5/04,210399
12/8/20,74053,American Aerogel Corporation,Early Stage Company,Product Development,Vehicles,,,Aerogel Insulation for Refrigerated Trailers,460 Buffalo Rd Ste 200A,Rochester,NY,14611,http://www.americanaerogel.com,3/30/11,213856
12/8/20,75325,"Precision Magnetic Bearing Systems, Inc.",Other,Product Development,Vehicles,,,Control System for Hybrid Vehicle,25 Walker Way Ste 2A,Albany,NY,12205,,12/22/00,214000
12/8/20,74159,MicroGen Systems,Early Stage Company,Product Development,Vehicles,,,Development of a MEMS power system for tire pressure monitoring devices.,150 Lucius Gordon Dr,West Henrietta,NY,14586,https://www.microgensystems.com/,4/6/15,215653
12/8/20,75262,"Lockheed Martin,",Corporate,Product Development,Vehicles,,,Establish HEV Motor Manufacturing Infrastructure,395 N Service Rd,Melville,NY,11747,http://www.lmco.com,3/6/98,216996
12/8/20,86463,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Top of Rail Lubrication System,850 River St,Troy,NY,12180,http://www.iem.net,12/11/95,217017
12/8/20,74190,R Roopnarine d/b/a Long Road Enterprises,Early Stage Company,Product Development,Vehicles,,,Long Road Enterprises to Validate SRM Prototype for EVs,225 E 76st Street,New York,NY,10021,,2/24/16,217514
12/8/20,75192,Odyne Corporation,Corporate,Product Development,Vehicles,,,Production of Hybrid Propulsion Systems in NYS,"W237 N2878 Woodgate Road, Suite 2,",Pewaukee,WI,53072,https://www.odyne.com/,3/17/08,230627
12/8/20,166395,Wireless Sensor Solutions,Early Stage Company,Product Development,Vehicles,,,Development of a MEMS power system for tire pressure monitoring devices.,"3 Railroad Street, Suite D5",Fairport,NY,14450,https://www.wsstec.com/,11/13/17,239047
12/8/20,75417,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,External Wheel Defect Detection System,850 River St,Troy,NY,12180,http://www.iem.net,8/17/04,245000
12/8/20,74183,"Autronic Plastics, Inc.",Corporate,Product Development,Vehicles,Rail transport innovation,,Metro Platform Light with Integrated Control,1150 Motor Parkway,Central Islip,NY,11722,http://www.clearvulighting.com/,7/9/15,248750
12/8/20,75198,"SOMS Technologies, LLC",Early Stage Company,Product Development,Vehicles,,,Application of Hybrid Spin-on Engine Oil Filters to Heavy Duty Vehicles,6 Hissarlik Way,Bedford,NY,10506,http://www.somstech.com,10/5/07,248770
12/8/20,75439,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Miniature Electronic Wheel Gauge for Railcars,850 River St,Troy,NY,12180,http://www.iem.net,10/4/05,249999
12/8/20,75331,"Sailon Auto Electric, Inc.",Early Stage Company,Product Development,Vehicles,,,High-Efficiency Alternator,106 Underhill Blvd,Syosset,NY,11791,,9/21/01,250000
12/8/20,75379,Alternative Fuels Technologies Corporati,Early Stage Company,Product Development,Vehicles,,,MetroKing Hybrid Taxi; market outreach,"PO BOX 202
185 Rochelle St",Bronx,NY,10464,,3/25/03,250000
12/8/20,75289,General Electric Corporate Research & D,Corporate,Product Development,Vehicles,,,Hybrid Vehicle Energy Storage,1 Research Circle,Niskayuna,NY,12309,http://www.geglobalresearch.com/,11/4/99,254339
12/8/20,75260,"Plug Power, Inc.",Corporate,Product Development,Vehicles,,,PEM Fuel Cell Power System for transportation,968 Albany Shaker Rd,Latham,NY,12110,http://www.plugpower.com/,6/26/97,256578
12/8/20,75251,"Cummins Engine Co., Inc.,",Corporate,Product Development,Vehicles,,,Natural Gas Engine for Trucks and Buses,PO Box 3005,Columbus,IN,47202,https://www.cummins.com/,3/29/96,262500
12/8/20,74127,Jeffrey L Kinzler,Venture Development Organization,Product Development,Vehicles,Rail transport innovation,,Urban Intermodal Freight Delivery System - Phase 3A,"393 Old Country Road, Suite 300",Carle Place,NY,11514,http://www.GreenUrbsnFreight.com,10/28/13,264397
12/8/20,75431,Odyne Corporation,Corporate,Product Development,Vehicles,,,Hybrid Drive for Small/Medium Bus,"W237 N2878 Woodgate Road, Suite 2,",Pewaukee,WI,53072,https://www.odyne.com/,3/14/05,269591
12/8/20,74054,"Environmental Energy Technologies, Inc",Early Stage Company,Product Development,Vehicles,,,Diesel Particulate Removal System Verification,333 Metro Park,Rochester,NY,14623,http://www.environmentalEnergyTech.com,6/8/11,270084
12/8/20,73994,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Railroad Wheel Thermal Imaging System,850 River St,Troy,NY,12180,http://www.iem.net,10/6/09,271390
12/8/20,75376,BAF Technologies,Corporate,Product Development,Vehicles,,,CNG/Diesel Bifuel Engine Conversion:Bachman AFV,2327 Beatrice St,Dallas,TX,75208,https://www.westport.com/products/automotive/wingpowersystem/,4/1/03,290000
12/8/20,75546,Clarkson University,University,Product Development,Vehicles,,,Thermoelectric Power from Vehicle Exhaust,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,10/31/01,294584
12/8/20,75408,Alternative Fuels Technologies Corporati,Early Stage Company,Product Development,Vehicles,,,Metro King Taxi Test,"PO BOX 202
185 Rochelle St",Bronx,NY,10464,,3/10/04,300000
12/8/20,86560,"Personal Electric Transports,",Other,Product Development,Vehicles,,,Development of Electric Scooter:Electric Scooter,204 Berth,Wilmington,CA,90744,https://personalelectrictransport.co.uk/,3/31/98,300000
12/8/20,74009,Kapsch TrafficCom Inc.,Corporate,Product Development,Vehicles,,,5.9 GHz DSCR In-Vehicle Device,"1390 Piccard Drive, Suite 200",Rockville,MD,20850,http://www.kapsch.net,12/8/10,309727
12/8/20,75407,"Shurepower, LLC",Early Stage Company,Product Development,Vehicles,electric,trucks,New York State Truck Stop Electrification,414 Trenton Ave,Utica,NY,13502,http://www.shorepower.com/,4/24/05,310904
12/8/20,75270,CALSPAN Corporation,Corporate,Product Development,Vehicles,,,On-board Commercial Vehicle Data Monitoring,4455 Genesee St,Buffalo,NY,14225,https://www.calspan.com/,6/24/98,312928
12/8/20,85003,Combined Energies LLC,Early Stage Company,Product Development,Vehicles,,,Development and Demonstration of a Power/Energy Module for Low-Voltage Vehicles,PO Box 23,Latham,NY,12110,http://www.combined-energies.com,4/9/15,314622
12/8/20,75282,"International Electronic Machines, Inc.",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,System to Detect Rail/Wheel Defects,850 River St,Troy,NY,12180,http://www.iem.net,9/1/98,325588
12/8/20,75319,"Reveo, Inc",Corporate,Product Development,Vehicles,,,High-Power Zinc-Air Power Cell,3 Westchester Plz Ste 237,Elmsford,NY,10523,https://reveo.com/,6/16/00,333217
12/8/20,75264,"Baker Electromotive, Inc.",Early Stage Company,Product Development,Vehicles,,,Aerial Tower Truck Demonstration,1700 Summit Ave,Richmond,VA,23230,,10/10/97,350000
12/8/20,75458,"AirFlow Catalyst Systems, Inc.",Early Stage Company,Product Development,Vehicles,,,Washcoat for Diesel Oxidation Catalyst,183 E Main St Ste 925,Rochester,NY,14604,http://www.AirFlowCatalyst.com,3/9/06,350000
12/8/20,74128,Weeels Inc.,Early Stage Company,Product Development,Vehicles,,,High Occupancy Taxi Rides,"c/o Urban Future Lab
15 Metrotech 19th Fl
Wunsch Building,",Brooklyn,NY,11201,http://www.bandwagon.io,4/9/13,361544
12/8/20,74069,Enviromotive Inc.,Early Stage Company,Product Development,Vehicles,,,Loon: Recreational Solar Boat,530 Harbor Way,Rome,NY,13440,http://enviromotive.net/,9/30/11,374999
12/8/20,75545,Clarkson University,University,Product Development,Vehicles,,,Tractor Trailer Drag Reduction,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,12/1/00,376220
12/8/20,75146,"Shurepower, LLC",Early Stage Company,Product Development,Vehicles,,,Hydraulic Hybrid Taxi,414 Trenton Ave,Utica,NY,13502,http://www.shorepower.com/,8/23/10,390583
12/8/20,74072,Ecovative Design LLC,Corporate,Product Development,Vehicles,,,Vehicle Biocomposite Parts Incorporating Structural Elements,70 Cohoes Ave Ste 103,Green Island,NY,12183,http://ecovativedesign.com/,4/17/12,391500
12/8/20,74051,Ecovative Design LLC,Corporate,Product Development,Vehicles,,,Biomaterials for Vehicle Fabrication,70 Cohoes Ave Ste 103,Green Island,NY,12183,http://ecovativedesign.com/,3/22/11,441179
12/8/20,75280,"Precision Magnetic Bearing Systems, Inc.",Other,Product Development,Vehicles,,,Compact Electric Motor,25 Walker Way Ste 2A,Albany,NY,12205,,1/6/99,452357
12/8/20,75142,"Advanced Transit Dynamics, Inc.",Early Stage Company,Product Development,Vehicles,,,Active Flow Control for Tractor Trailer Drag Reduction,3150 Corporate Pl,Hayward,CA,94545,http://www.stemco.com/,3/10/09,467589
12/8/20,75292,"Alumina Micro, LLC",Early Stage Company,Product Development,Vehicles,,,Compressor Control Valve,5506 Hallmark Ln,Lockport,NY,14094,,3/24/99,468618
12/8/20,75235,Alternative Fuels Technologies Corporati,Early Stage Company,Product Development,Vehicles,,,Metroking Efficiency Upgrade,"PO BOX 202
185 Rochelle St",Bronx,NY,10464,,2/27/09,475000
12/8/20,75324,"Alstrom Transportation, Inc.",Corporate,Product Development,Vehicles,Rail transport innovation,,Transit Gearbox for Urban Rail,1 Transit Dr,Hornell,NY,14843,https://www.alstom.com/alstom-us,11/29/00,483576
12/8/20,74115,"BAE Systems Controls, Inc.",Corporate,Product Development,Vehicles,hybrid,,Parallel Hybrid Powertrain,600 Main Street,Johnson City,NY,13790,https://www.baesystems.com/en/home,12/30/13,496344
12/8/20,75254,"International Electronic Machines, Inc.",Early Stage Company,Product Development,Vehicles,Rail transport innovation,,Rail Based Wheel Gauge,850 River St,Troy,NY,12180,http://www.iem.net,2/5/98,498847
12/8/20,111630,Unique Electric Solutions of NYS LLC,Early Stage Company,Product Development,Vehicles,electric,buses,High Efficiency All-Electric Medium Duty Buses,82 Arlington Avenue,St. James,NY,11780,http://www.uesmfg.com,2/18/20,499531
